,0,1,2
57,3.5433964102539947e-157,7.309139741240817e-159,1.0
58,7.291536277341591e-304,0.0,1.0
59,8.253316061546158e-215,1.2368017086042673e-294,1.0
60,1.6336758930754346e-289,0.0,1.0
61,2.6331404450917887e-304,2.923069527586976e-213,1.0
62,0.0,0.0,1.0
63,0.0,0.0,1.0
64,0.0,3.6789498430049e-183,1.0
65,1.4129953648981516e-180,8.962574664004634e-170,1.0
66,8.202417579774048e-259,7.885795821963534e-211,1.0
67,1.893196544948769e-261,8.996926923825572e-236,1.0
68,1.751302449259149e-272,1.2527577130621658e-214,1.0
69,5.453294395982274e-175,3.090466712529121e-133,1.0
70,5.221812725033153e-287,3.559649219840008e-160,1.0
71,0.0,6.326087817856536e-236,1.0
72,2.1482277193470923e-161,7.929212835383222e-180,1.0
73,1.9146181210949545e-239,0.0,1.0
74,7.294138810839431e-303,1.5779404482478714e-149,1.0
75,1.6694991664153235e-249,6.177662508584949e-220,1.0
76,1.857179465284787e-236,0.0,1.0
77,0.0,2.1786762220095385e-259,1.0
78,1.7923462317899107e-135,6.785901176394856e-170,1.0
79,1.0733949818963246e-100,1.083386657713924e-172,1.0
80,9.157894487895927e-152,3.385465726123341e-218,1.0
81,6.551248671902652e-252,0.0,1.0
82,1.440599112430334e-148,7.779296622314142e-108,1.0
83,0.0,0.0,1.0
84,4.040653238194016e-260,1.0395887016008332e-242,1.0
85,1.0957924995941527e-152,4.233086708917009e-128,1.0
86,3.06544041255325e-200,6.580139293259885e-159,1.0
87,5.278016297654442e-96,3.427263364061871e-172,1.0
88,1.3622595798878238e-187,1.6918367626991406e-175,1.0
89,0.0,0.0,1.0
90,2.09222709526279e-150,6.8527018643660625e-118,1.0
91,2.1703598046766375e-160,2.436098050212011e-230,1.0
92,1.1415520934473787e-133,3.634069183783796e-188,1.0
93,0.0,0.0,1.0
94,5.015735598379237e-187,7.024236659512564e-159,1.0
95,1.2306945165820754e-213,8.503228054006931e-212,1.0
96,4.764525593698209e-216,5.352472675051739e-144,1.0
97,1.5499125229494464e-254,1.8277765996487313e-237,1.0
98,8.620258905022183e-191,2.3702566366433468e-278,1.0
99,5.475985414366367e-204,2.8388198880591076e-190,1.0
100,1.5625096359628634e-136,9.2288787153462e-198,1.0
101,1.680503942974344e-155,8.964219489090839e-247,1.0
102,5.700143974045976e-149,3.6466958061155777e-209,1.0
103,8.106071212841836e-140,3.779352317311734e-215,1.0
104,2.0786001058428528e-116,5.102651958045391e-160,1.0
105,1.3727358565129438e-112,1.032146150152041e-96,1.0
106,1.0686753552791473e-205,3.4578278597785676e-118,1.0
107,6.486479646564359e-191,3.609615029189655e-227,1.0
108,4.2937857677919196e-85,3.14356503892526e-32,1.0
109,2.687515575638808e-128,6.047932553123347e-127,1.0
110,2.3874511796937825e-68,3.8483416094335097e-75,1.0
111,1.5260718922232812e-183,1.7208827130640453e-102,1.0
112,6.454434175818053e-96,2.0513176266261979e-69,1.0
113,1.3271679124480999e-189,4.4433097218331784e-281,1.0
114,2.1455633850762325e-177,2.5910798630990656e-105,1.0
115,5.233064736365169e-74,5.596361010078563e-122,1.0
116,2.1004274481588833e-183,1.1768678535381238e-170,1.0
117,6.1716413192054216e-121,3.294904998537748e-128,1.0
118,2.919210652903687e-228,1.5281549279275211e-192,1.0
119,3.4077367738524904e-215,1.9495836142412246e-138,1.0
120,5.113677144280964e-175,2.3845996102858437e-119,1.0
